claim_ref,policy_no,loss_date,report_date,status,peril_code,region,paid_gbp,outstanding_gbp,incurred_gbp
BRD-2025M11-000001,POL-4631951,2025-09-13,2025-10-04,Open,AD,South,173.56,290.92,464.48
BRD-2025M11-000002,POL-3354585,2025-04-03,2025-04-03,Closed,WS,Midlands,5926.96,0.00,5926.96
BRD-2025M11-000003,POL-4796060,2025-08-23,2025-08-23,Closed,TPPD,London,429.65,0.00,429.65
BRD-2025M11-000004,POL-5984199,2025-03-15,2025-03-22,Closed,AD,South,4069.70,0.00,4069.70
BRD-2025M11-000005,POL-5991096,2025-09-26,2025-10-08,Open,TPPD,South,926.41,2460.75,3387.16
BRD-2025M11-000006,POL-7815242,2024-04-09,2024-04-29,Reopened,AD,South,171.76,209.20,380.96
BRD-2025M11-000007,POL-7321423,2025-11-29,2025-11-30,ClosedWithoutPayment,WS,London,0.00,0.00,0.00
BRD-2025M11-000008,POL-2858832,2025-04-04,2025-04-30,Open,TPBI,London,1067.31,2520.31,3587.62
BRD-2025M11-000009,POL-8555444,2025-06-18,2025-06-22,Closed,TH,Midlands,603.42,0.00,603.42
BRD-2025M11-000010,POL-2155400,2025-01-16,2025-02-21,Open,AD,North,1378.30,618.33,1996.63
BRD-2025M11-000011,POL-6991577,2025-03-11,2025-04-01,Closed,TPPD,London,1410.82,0.00,1410.82
BRD-2025M11-000012,POL-5923156,2025-11-04,2025-11-05,ClosedWithoutPayment,TPBI,Midlands,0.00,0.00,0.00
BRD-2025M11-000013,POL-2740141,2025-04-29,2025-04-29,Open,TPPD,North,996.36,731.95,1728.31
BRD-2025M11-000014,POL-9839303,2025-02-18,2025-04-16,Closed,FI,Midlands,12692.77,0.00,12692.77
BRD-2025M11-000015,POL-8791493,2025-08-28,2025-08-29,Open,AD,London,178.80,572.20,751.00
BRD-2025M11-000016,POL-4349453,2025-11-19,2025-11-30,Open,WS,London,82.40,998.87,1081.27
BRD-2025M11-000017,POL-6740905,2024-12-12,2024-12-21,Closed,TH,Scotland,2934.19,0.00,2934.19
BRD-2025M11-000018,POL-2290184,2024-07-17,2024-07-20,Open,AD,North,16.14,318.52,334.66
BRD-2025M11-000019,POL-2251077,2025-02-06,2025-02-20,Closed,TPPD,South,1055.09,0.00,1055.09
BRD-2025M11-000020,POL-1694419,2024-06-24,2024-06-30,Open,TPPD,South,2927.34,2834.42,5761.76
BRD-2025M11-000021,POL-4896285,2025-04-01,2025-04-09,Reopened,TPPD,North,405.25,516.45,921.70
BRD-2025M11-000022,POL-1875102,2025-06-28,2025-07-01,Closed,TPPD,London,3055.33,0.00,3055.33
BRD-2025M11-000023,POL-4146520,2025-09-18,2025-09-22,Closed,AD,North,3092.75,0.00,3092.75
BRD-2025M11-000024,POL-5870585,2025-09-28,2025-10-02,Closed,WS,North,214.60,0.00,214.60
BRD-2025M11-000025,POL-3176011,2025-11-16,2025-11-16,Closed,AD,South,251.94,0.00,251.94
BRD-2025M11-000026,POL-2766059,2025-02-25,2025-04-29,Closed,TPBI,North,2319.15,0.00,2319.15
BRD-2025M11-000027,POL-3219717,2024-12-29,2025-01-23,Closed,TPBI,London,7009.38,0.00,7009.38
BRD-2025M11-000028,POL-9836556,2024-06-13,2024-06-20,Closed,AD,London,623.67,0.00,623.67
BRD-2025M11-000029,POL-8229254,2025-07-24,2025-08-18,Closed,TPPD,North,1891.84,0.00,1891.84
BRD-2025M11-000030,POL-5892611,2024-06-12,2024-06-28,Open,AD,London,311.71,533.98,845.69
BRD-2025M11-000031,POL-5295397,2025-11-25,2025-11-30,ClosedWithoutPayment,TPPD,South,0.00,0.00,0.00
BRD-2025M11-000032,POL-5822164,2024-07-28,2024-07-31,Reopened,FI,Scotland,922.54,2083.35,3005.89
BRD-2025M11-000033,POL-5270421,2025-11-02,2025-11-05,Open,TPPD,Midlands,3688.67,8272.11,11960.78
BRD-2025M11-000034,POL-4312850,2025-06-19,2025-08-07,Open,TPPD,Scotland,246.39,161.43,407.82
BRD-2025M11-000035,POL-1507377,2025-02-14,2025-03-03,Open,AD,London,11959.07,10253.87,22212.94
BRD-2025M11-000036,POL-9897340,2025-10-15,2025-10-17,Open,AD,Midlands,1183.82,1935.66,3119.48
BRD-2025M11-000037,POL-5772556,2025-07-06,2025-07-12,Open,AD,North,128.63,2896.08,3024.71
BRD-2025M11-000038,POL-8572031,2025-07-09,2025-07-10,Open,AD,London,614.64,1637.77,2252.41
BRD-2025M11-000039,POL-5690093,2024-06-19,2024-07-12,Open,TPPD,North,244.16,1471.93,1716.09
BRD-2025M11-000040,POL-7885140,2025-07-04,2025-07-18,Open,AD,Midlands,875.90,1065.24,1941.14
BRD-2025M11-000041,POL-2548289,2025-03-27,2025-03-30,Closed,TH,London,2138.23,0.00,2138.23
BRD-2025M11-000042,POL-9466690,2025-07-26,2025-08-02,Open,AD,South,1212.97,6388.39,7601.36
BRD-2025M11-000043,POL-4880901,2025-06-11,2025-06-16,ClosedWithoutPayment,TPPD,South,0.00,0.00,0.00
BRD-2025M11-000044,POL-7728800,2024-11-16,2024-11-23,Closed,TPPD,South,2815.09,0.00,2815.09
BRD-2025M11-000045,POL-1628506,2025-04-15,2025-04-21,Closed,WS,North,523.55,0.00,523.55
BRD-2025M11-000046,POL-8246953,2025-10-24,2025-11-05,Open,AD,Scotland,3594.43,2865.57,6460.00
BRD-2025M11-000047,POL-3333465,2024-11-04,2024-11-04,Closed,AD,Scotland,241.65,0.00,241.65
BRD-2025M11-000048,POL-6772846,2025-06-18,2025-06-19,Open,TH,North,3133.81,4399.35,7533.16
BRD-2025M11-000049,POL-6954617,2025-09-13,2025-09-13,Closed,WS,South,1032.49,0.00,1032.49
BRD-2025M11-000050,POL-7619976,2025-07-21,2025-07-22,Closed,AD,London,1195.95,0.00,1195.95
BRD-2025M11-000051,POL-5610957,2025-11-30,2025-11-30,Closed,AD,North,2293.20,0.00,2293.20
BRD-2025M11-000052,POL-1876838,2024-08-19,2024-08-22,Closed,TH,South,511.71,0.00,511.71
BRD-2025M11-000053,POL-8076989,2025-09-27,2025-10-11,Reopened,AD,London,897.85,1988.48,2886.33
BRD-2025M11-000054,POL-6428391,2025-11-03,2025-11-05,Closed,TPPD,Midlands,434.98,0.00,434.98
BRD-2025M11-000055,POL-9465905,2025-09-26,2025-09-27,Closed,AD,Midlands,788.55,0.00,788.55
BRD-2025M11-000056,POL-5476360,2025-05-29,2025-05-30,Closed,TPBI,South,642.66,0.00,642.66
BRD-2025M11-000057,POL-2184048,2025-10-28,2025-11-14,ClosedWithoutPayment,WS,Midlands,0.00,0.00,0.00
BRD-2025M11-000058,POL-7661713,2024-09-18,2024-09-26,Open,TPPD,Scotland,5785.00,10881.76,16666.76
BRD-2025M11-000059,POL-8745911,2025-09-14,2025-09-28,Closed,TPPD,Midlands,1209.14,0.00,1209.14
BRD-2025M11-000060,POL-2647455,2025-07-14,2025-08-02,Closed,FI,South,962.50,0.00,962.50
BRD-2025M11-000061,POL-3944271,2025-10-25,2025-11-03,Open,WS,South,327.62,532.20,859.82
BRD-2025M11-000062,POL-8154673,2025-07-13,2025-07-13,Closed,AD,Scotland,3883.97,0.00,3883.97
BRD-2025M11-000063,POL-6787934,2025-08-08,2025-08-08,Closed,WS,North,10589.44,0.00,10589.44
BRD-2025M11-000064,POL-4443005,2025-01-02,2025-02-04,Closed,TPPD,Midlands,1745.96,0.00,1745.96
BRD-2025M11-000065,POL-3088446,2024-12-30,2024-12-30,Closed,TH,North,1129.52,0.00,1129.52
BRD-2025M11-000066,POL-6008405,2025-09-01,2025-09-27,Closed,TPPD,North,9977.22,0.00,9977.22
BRD-2025M11-000067,POL-3458620,2025-11-10,2025-11-16,Open,AD,London,320.58,3275.55,3596.13
BRD-2025M11-000068,POL-6802304,2025-11-26,2025-11-30,Closed,TPPD,North,306.82,0.00,306.82
BRD-2025M11-000069,POL-8363525,2025-09-28,2025-10-04,Open,AD,South,1900.65,1987.27,3887.92
BRD-2025M11-000070,POL-1477597,2025-05-08,2025-05-08,Closed,WS,South,402.34,0.00,402.34
BRD-2025M11-000071,POL-8020151,2024-11-24,2025-01-09,Closed,TPPD,Scotland,1230.25,0.00,1230.25
BRD-2025M11-000072,POL-3216868,2024-12-04,2024-12-10,Closed,TPBI,North,3017.68,0.00,3017.68
BRD-2025M11-000073,POL-3226222,2025-11-07,2025-11-24,Closed,AD,South,427.13,0.00,427.13
BRD-2025M11-000074,POL-6344870,2025-10-24,2025-10-24,Reopened,AD,Midlands,400.35,573.20,973.55
BRD-2025M11-000075,POL-3026777,2025-08-31,2025-09-26,Closed,TH,South,1126.36,0.00,1126.36
BRD-2025M11-000076,POL-6820835,2025-11-03,2025-11-15,Closed,TPPD,North,998.87,0.00,998.87
BRD-2025M11-000077,POL-9156992,2025-01-15,2025-01-16,Closed,TPBI,London,2896.47,0.00,2896.47
BRD-2025M11-000078,POL-9748668,2025-08-19,2025-08-28,ClosedWithoutPayment,TPPD,London,0.00,0.00,0.00
BRD-2025M11-000079,POL-1279928,2025-04-19,2025-06-23,ClosedWithoutPayment,TPPD,North,0.00,0.00,0.00
BRD-2025M11-000080,POL-8484017,2025-09-05,2025-09-08,Open,TH,London,672.52,598.16,1270.68
BRD-2025M11-000081,POL-9524055,2025-05-17,2025-05-22,Closed,TH,North,596.23,0.00,596.23
BRD-2025M11-000082,POL-6333997,2025-07-05,2025-07-08,Open,TPPD,Midlands,1363.47,1472.28,2835.75
BRD-2025M11-000083,POL-9064383,2025-08-26,2025-09-02,Open,TPPD,South,307.79,259.84,567.63
BRD-2025M11-000084,POL-9086165,2025-11-08,2025-11-29,Closed,WS,North,1212.18,0.00,1212.18
BRD-2025M11-000085,POL-7583723,2024-03-21,2024-04-05,Closed,TH,Midlands,557.39,0.00,557.39
