ClaimRef,PolicyNo,LossDate,ReportDate,Status,PerilCode,Region,Handler,PaidGBP,OutstandingGBP
BRD-2025M12-000001,POL-5823209,31/04/2025,06/11/2025,C,AD,North,HTG,8682.56,-
BRD-2025M12-000002,POL-8339688,08-Mar-25,15/04/2025,C,WS,London,SJA,1960.99,0.00
BRD-2025M12-000003,POL-9148637,05/11/2025,08/12/2025,C,TH,South,GGB,4025.79,
BRD-2025M12-000004,POL-5774823,10/11/2025,11/11/2025,O,TPBI,South,NBE,£1005.32,£506.14
BRD-2025M12-000005,POL-4132786,08/10/2025,22/10/2025,O,FI,London,JAA,£55.10,820.09
BRD-2025M12-000006,POL-7703735,27-Nov-25,31/12/2025,C,WS,North,LFD,3314.61,-
BRD-2025M12-000007,POL-4775518,30/08/2025,05/09/2025,O,TPPD,South,NTF,352.40,241.24
BRD-2025M12-000008,POL-6277115,17-Nov-25,17/12/2025,C ,TPPD,North,JHB,1827.75,
BRD-2025M12-000009,POL-5283086,14/08/2025,17/08/2025,C,WS,Midlands,GJR,£7347.36,
BRD-2025M12-000010,POL-8324450,30/11/2025,,C,TH,South,BDH,612.98,-
BRD-2025M12-000011,POL-9612071,26/06/2025,24/07/2025,CWP,TPPD,London,GBG,,0.00
BRD-2025M12-000012,POL-1505361,18-Dec-24,20/12/2024,closed,TPBI,London,LFR,708.26,
BRD-2025M12-000013,POL-6278388,24/06/2025,26/06/2025,closed,TPPD,North,FMG,4870.16,0.00
BRD-2025M12-000014,POL-3054027,03-Oct-25,03/10/2025,C,WS,London,CDD,1641.78,
BRD-2025M12-000015,POL-2773676,28/11/2024,28/11/2024,CWP,TPPD,Midlands,BAR,-,
BRD-2025M12-000015,POL-2773676,28/11/2024,28/11/2024,CWP,TPPD,Midlands,BAR,-,
BRD-2025M12-000016,POL-6499185,12/07/2025,24/07/2025,o,WS,London,JGE,£647.32,624.63
BRD-2025M12-000017,POL-3085767,12-Apr-25,16/04/2025,CWP,AD,North,MLN,0.00,
BRD-2025M12-000018,POL-7320529,2025-04-19,18/05/2025,C,TH,London,PJN,£667.02,-
BRD-2025M12-000019,POL-8325789,2025-12-30,31/12/2025,closed,AD,North,GGF,375.60,
BRD-2025M12-000020,POL-4448830,2025-10-02,04/11/2025,closed,WS,London,FKG,2919.63,0.00
BRD-2025M12-000021,POL-8146035,20/12/2024,02/01/2025,C,TPBI,Scotland,HDL,£1741.04,0.00
BRD-2025M12-000022,POL-9848311,14/04/2025,18/05/2025,O,TPPD,Midlands,LJK,£1330.67,£18316.57
BRD-2025M12-000023,POL-2639952,07/06/2025,13/06/2025,O,AD,London,WBW,39.80,£188.96
BRD-2025M12-000024,POL-8312276,08/08/2025,08/08/2025,C,TPPD,South,HLL,£3713.76,-
